model_type,config_name,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,cv_mean,cv_std,needs_scaling,status
MLPClassifier,"hidden=(100,50)",0.6,0.625,0.2777777777777778,0.38461538461538464,0.452020202020202,0.44101960784313726,0.051071773304346854,True,success
SVM,C=10.0,0.475,0.42105263157894735,0.4444444444444444,0.43243243243243246,0.4292929292929293,0.5312941176470589,0.08738339074495423,True,success
LogisticRegression,C=10.0,0.45,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.40909090909090906,0.484313725490196,0.08309654941340033,True,success
SVM,C=1.0,0.45,0.375,0.3333333333333333,0.35294117647058826,0.40404040404040403,0.5316862745098039,0.05722610073342288,True,success
RidgeClassifier,alpha=1.0,0.45,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.0,0.48039215686274506,0.07744477512992744,True,success
NaiveBayes,Gaussian,0.45,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3838383838383838,0.46862745098039216,0.04975912760960595,False,success
MLPClassifier,"hidden=(50,)",0.45,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.4292929292929293,0.5077647058823529,0.06518321854593934,True,success
RidgeClassifier,alpha=0.1,0.45,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.0,0.48039215686274506,0.07744477512992744,True,success
SVM,C=0.1,0.45,0.45,1.0,0.6206896551724138,0.6237373737373738,0.503921568627451,0.007843137254901952,True,success
LogisticRegression,C=0.1,0.425,0.391304347826087,0.5,0.43902439024390244,0.39646464646464646,0.47239215686274505,0.058986232501827995,True,success
LogisticRegression,C=1.0,0.425,0.391304347826087,0.5,0.43902439024390244,0.4015151515151515,0.47639215686274505,0.06948612390139808,True,success
RandomForest,depth=15,0.425,0.35294117647058826,0.3333333333333333,0.34285714285714286,0.35353535353535354,0.484078431372549,0.06142413418111841,False,success
CatBoost,lr=0.3_d=8,0.425,0.3333333333333333,0.2777777777777778,0.30303030303030304,0.41919191919191917,0.5075294117647059,0.07690131085305944,False,success
GradientBoosting,lr=0.1_d=5,0.425,0.3333333333333333,0.2777777777777778,0.30303030303030304,0.3434343434343434,0.512,0.07669192703559927,False,success
GradientBoosting,lr=0.2_d=7,0.425,0.35294117647058826,0.3333333333333333,0.34285714285714286,0.3409090909090909,0.5,0.05750148352398108,False,success
RidgeClassifier,alpha=10.0,0.425,0.391304347826087,0.5,0.43902439024390244,0.0,0.4605490196078431,0.05824742726974979,True,success
XGBoost,lr=0.1_d=6,0.425,0.3333333333333333,0.2777777777777778,0.30303030303030304,0.4191919191919192,0.523450980392157,0.05028815085195707,False,success
XGBoost,lr=0.3_d=8,0.425,0.3076923076923077,0.2222222222222222,0.25806451612903225,0.43686868686868685,0.5156078431372549,0.047117871451000944,False,success
AdaBoost,n_est=50,0.425,0.35294117647058826,0.3333333333333333,0.34285714285714286,0.4217171717171717,0.4844705882352941,0.06679645958198253,False,success
RandomForest,depth=10,0.4,0.3125,0.2777777777777778,0.29411764705882354,0.3434343434343434,0.512,0.06106253845411763,False,success
GradientBoosting,lr=0.05_d=3,0.4,0.3125,0.2777777777777778,0.29411764705882354,0.33585858585858586,0.5161568627450981,0.0818187717989284,False,success
CatBoost,lr=0.03_d=4,0.375,0.29411764705882354,0.2777777777777778,0.2857142857142857,0.3737373737373737,0.5196862745098039,0.08456429706638262,False,success
AdaBoost,n_est=200,0.375,0.26666666666666666,0.2222222222222222,0.24242424242424243,0.38636363636363635,0.48854901960784314,0.0784025044912212,False,success
RandomForest,depth=5,0.375,0.3157894736842105,0.3333333333333333,0.32432432432432434,0.3484848484848485,0.504156862745098,0.09611399101853865,False,success
CatBoost,lr=0.1_d=6,0.35,0.21428571428571427,0.16666666666666666,0.1875,0.40151515151515155,0.5666666666666667,0.06395884874627487,False,success
AdaBoost,n_est=100,0.35,0.25,0.2222222222222222,0.23529411764705882,0.351010101010101,0.48062745098039217,0.07516885004386174,False,success
XGBoost,lr=0.01_d=4,0.325,0.23529411764705882,0.2222222222222222,0.22857142857142856,0.3068181818181818,0.504,0.04789479692484482,False,success
MLPClassifier,"hidden=(100,100,50)",0.325,0.3333333333333333,0.5,0.4,0.31565656565656564,0.49607843137254903,0.07784091467168316,True,success
