model_type,config_name,test_accuracy,test_precision,test_recall,test_f1,cv_mean,cv_std,needs_scaling,status
GradientBoosting,lr=0.2_d=7,0.475,0.5041666666666667,0.475,0.47934065934065934,0.3581960784313726,0.03728221908703699,False,success
XGBoost,lr=0.1_d=6,0.45,0.49142857142857144,0.45,0.44297619047619047,0.5080784313725489,0.06293774347732596,False,success
GradientBoosting,lr=0.05_d=3,0.45,0.5061904761904762,0.45,0.45999417249417246,0.4490980392156863,0.07761552142262204,False,success
GradientBoosting,lr=0.1_d=5,0.45,0.4722321428571429,0.45,0.43871212121212116,0.4605490196078431,0.07750575377681396,False,success
XGBoost,lr=0.3_d=8,0.425,0.43666666666666665,0.425,0.4140012765012765,0.48431372549019613,0.03257499554085519,False,success
RandomForest,depth=5,0.4,0.39944444444444444,0.4,0.3744047619047619,0.271921568627451,0.0561951890246107,False,success
XGBoost,lr=0.01_d=4,0.375,0.4482738095238096,0.375,0.37279040404040403,0.5076862745098039,0.06224882168856502,False,success
CatBoost,lr=0.03_d=4,0.35,0.4230952380952381,0.35,0.36199786324786326,0.23654901960784316,0.05308036894266638,False,success
AdaBoost,n_est=200,0.325,0.26666666666666666,0.325,0.28853896103896104,0.41403921568627455,0.1020923434810981,False,success
CatBoost,lr=0.1_d=6,0.325,0.425,0.325,0.3325,0.25992156862745097,0.03431173103447397,False,success
CatBoost,lr=0.3_d=8,0.3,0.305,0.3,0.2893831168831169,0.26384313725490194,0.06175612763337034,False,success
LogisticRegression,C=1.0,0.275,0.34,0.275,0.2875,0.17333333333333334,0.05356351711047489,True,success
RidgeClassifier,alpha=10.0,0.275,0.2836309523809524,0.275,0.2606926406926407,0.14972549019607842,0.04271623418352784,True,success
LogisticRegression,C=10.0,0.275,0.3066666666666667,0.275,0.275,0.17741176470588235,0.053688322623818015,True,success
RidgeClassifier,alpha=1.0,0.275,0.29196428571428573,0.275,0.26569264069264065,0.14972549019607842,0.04271623418352784,True,success
RidgeClassifier,alpha=0.1,0.275,0.2836309523809524,0.275,0.2606926406926407,0.15364705882352941,0.04043013634214418,True,success
LogisticRegression,C=0.1,0.25,0.30666666666666664,0.25,0.25656565656565655,0.16149019607843135,0.048912761987797156,True,success
RandomForest,depth=10,0.25,0.39668650793650795,0.25,0.2438293650793651,0.2874509803921569,0.0564978147873004,False,success
RandomForest,depth=15,0.25,0.4758333333333333,0.25,0.2419230769230769,0.244,0.0500846803109039,False,success
SVM,C=1.0,0.225,0.27249999999999996,0.225,0.23650641025641023,0.14549019607843136,0.05314268114975663,True,success
NaiveBayes,Gaussian,0.2,0.2541666666666666,0.2,0.2176923076923077,0.14980392156862746,0.06087406403743453,False,success
AdaBoost,n_est=100,0.15,0.175,0.15,0.13648809523809524,0.3429019607843137,0.06643725232677844,False,success
SVM,C=0.1,0.125,0.015625,0.125,0.02777777777777778,0.11427450980392155,0.023450324602280588,True,success
SVM,C=10.0,0.125,0.1825,0.125,0.1365079365079365,0.1770980392156863,0.0273112409663471,True,success
AdaBoost,n_est=50,0.1,0.27361111111111114,0.1,0.11984890109890109,0.2995294117647059,0.05803624793684286,False,success
MLPClassifier,"hidden=(50,)",0.075,0.04125,0.075,0.04027777777777777,0.09443137254901961,0.03789655885954354,True,success
MLPClassifier,"hidden=(100,50)",0.075,0.15555555555555556,0.075,0.08369408369408368,0.09466666666666668,0.03213734462656008,True,success
MLPClassifier,"hidden=(100,100,50)",0.05,0.103125,0.05,0.058119658119658114,0.11411764705882352,0.018905052224617965,True,success
